Context,Topic of discussion,Representative tweet id,Representative tweet
ego lucifer gutter mentality & saudi,0.rats brothers god nra bros zombie idiots lucifer rove koch judas gop karl,460229017191186432,@suemclean @WendyDavisTexas your sorry ass of  ego: lucifer gutter mentality: &amp; saudi osama wahabi tactics of intimidation  will LOSE. AMEEN
logo white t-shirts Get yours,1.tshirts,460181618884640768,We're offering a $5 discount for a limited time on #TeamWendy vintage logo white t-shirts! Get yours while they last: http://t.co/i1qGVvzoh3
a limited time on #TeamWendy vintage,2.zombie time,460181618884640768,We're offering a $5 discount for a limited time on #TeamWendy vintage logo white t-shirts! Get yours while they last: http://t.co/i1qGVvzoh3
#TeamWendy vintage logo white t-shirts,3.logo,460181618884640768,We're offering a $5 discount for a limited time on #TeamWendy vintage logo white t-shirts! Get yours while they last: http://t.co/i1qGVvzoh3
a $5 discount for a limited,4.discount,460181618884640768,We're offering a $5 discount for a limited time on #TeamWendy vintage logo white t-shirts! Get yours while they last: http://t.co/i1qGVvzoh3
time on #TeamWendy vintage logo white,5.teamwendy,460181618884640768,We're offering a $5 discount for a limited time on #TeamWendy vintage logo white t-shirts! Get yours while they last: http://t.co/i1qGVvzoh3
health law to remove foot :-),6.law health care,460283328638095360,@pmbasse @suemclean @F2Ford @WendyDavisTexas i guess u ran to EMERGENCY ROOM SINCE U got covered under new health law; to remove foot.. :-)
BROS goodies Alex LOL,7.alex,460277866320506880,@AnalyzeVSjudge @suemclean @F2Ford @WendyDavisTexas Perhaps you would like some KOCH BROS goodies Alex LOL http://t.co/5dbxS8IDX8
slave USA FREE WILL VOTERS,8.slave voters,460243025004728321,@suemclean @WendyDavisTexas she stood against GOP koch ideology to mentally slave USA FREE WILL VOTERS vs perry allow payday loan corruption
in the womb who have no,9.womb mothers,460243508826103808,@AnalyzeVSjudge @WendyDavisTexas She stood to kill innocent babies in the womb who have no voice. Doesn't get much more evil than that.
