Context,Topic of discussion,Representative tweet id,Representative tweet
committee choose GOP ticket in all,0.gop,442554321595416578,.@SavetheIRS I already said "any other way couldn't be worse". Have @Reince or committee choose GOP ticket in all states.
choose GOP ticket in all states,1.ticket,442554321595416578,.@SavetheIRS I already said "any other way couldn't be worse". Have @Reince or committee choose GOP ticket in all states.
to win senate in 2014 ---- so we,2.senate,442540327258181632,We need to win senate in 2014 ---- so we can stop all the lifetime apptmts of liberal judges across the country &lt;----THIS IS VERY IMPORTANT
undocumented Dems voted more than once,3.dems anything,442566256596508672,@davetv28 @Dark_Red_Hair undocumented Dems voted more than once, Soros owns the voting machines, precincts say Obama got 150% of the vote!
across the country <---- THIS IS,4.country,442540327258181632,We need to win senate in 2014 ---- so we can stop all the lifetime apptmts of liberal judges across the country &lt;----THIS IS VERY IMPORTANT
lifetime apptmts of liberal judges across the,5.apptmts lifetime,442540327258181632,We need to win senate in 2014 ---- so we can stop all the lifetime apptmts of liberal judges across the country &lt;----THIS IS VERY IMPORTANT
of liberal judges across the country <----,6.judges,442540327258181632,We need to win senate in 2014 ---- so we can stop all the lifetime apptmts of liberal judges across the country &lt;----THIS IS VERY IMPORTANT
logic w/ primaries Is there a,7.primaries,442553411129442304,@Dark_Red_Hair @WarrenPeas64 Back to things...I don't see your logic w/ primaries.  Is there a better way, in ur mind?
keep getting RINOS losing and that,8.rinos,442556239705174016,(cont @SavetheIRS ) I clearly said we keep getting RINOS [&amp; losing] and that I want conservatives votes not to be divided ..........
of the vote,9.vote,442566256596508672,@davetv28 @Dark_Red_Hair undocumented Dems voted more than once, Soros owns the voting machines, precincts say Obama got 150% of the vote!
