Context,Topic of discussion,Representative tweet id,Representative tweet
my next adventure #yxe,0.adventure,459108727267020801,Excited to announce my next adventure! http://t.co/eSDNrlD3Zi @saskpulse #yxe
welcome home,1.home,459111557566582784,@andrealauder welcome home
Ah thanks so much Cait,2.thanks,459305910502830080,@CaitWills Ah thanks so much Cait. You know I'll miss you terribly. You are amazing.
Start May 26th,3.may,459169503037751297,@RealTurkeyLady Start May 26th!
trip to Saskatoon,4.saskatoon,459329341889855488,@CaitWills Think I could ever convince you and @aguycalled80 to road trip to Saskatoon?!
you and #yeg with every fibre of my,5.yeg,459114766443634688,@habanerogal And I will miss you and #yeg with every fibre of my being. #truth
work sched and I'll DM you,6.work sched,459176396263137282,@andrealauder okay. Let me check my work sched and I'll DM you. #candrawmanitobatoo
congratulations,7.congratulations,459116506337398785,@andrealauder congratulations!!
Andrea Wow I'm so excited,8.andrea,459118591527239680,@andrealauder @saskpulse Andrea! Wow, I'm so excited for you. I know this is your dream. We will miss you very much
could make anything sexay,9.anything,459171654875090944,@andrealauder haha they've come a long way already;) you could make anything sexay!
