Topic of discussion,Representative tweet id,Another representative tweet id (if any)
0.kids bubble fox source talk rem news scarborough operatives gop nooz,461699943594340353
1.bush cheney george w,461691367958126592
2.benghazi potus,461692437547601920,461699514361868288
3.embassy security cut,461691367958126592
4.times,461691367958126592
5.committees senate intelligence review committee report select,461701946424848384
6.obama,461700510894931969
7.truth,461699514361868288
8.cover,461729498845573120
9.media,461699514361868288
