Context,Topic of discussion,Representative tweet id,Representative tweet
they be terrorists they're not,0.unions terrorists,457509445564903424,@Nupe117 @cspanwj c'mon George- how can they be terrorists? they're not brown ppl
US officials while in the pursuit of their,1.officials us,457508545781837824,Sniping US officials while in the pursuit of their lawful duties is not patriotic. Its domestic terrorism @cspanwj http://t.co/Z73ssagWsx
insurrection against gov u know what,2.things gov people,457516795008917506,@Manicdj99 @Nupe117 @cspanwj what if it were native americans in armed insurrection against gov? u know what wud happen
in the pursuit of their lawful duties,3.pursuit,457508545781837824,Sniping US officials while in the pursuit of their lawful duties is not patriotic. Its domestic terrorism @cspanwj http://t.co/Z73ssagWsx
their lawful duties is not,4.duties,457508545781837824,Sniping US officials while in the pursuit of their lawful duties is not patriotic. Its domestic terrorism @cspanwj http://t.co/Z73ssagWsx
Its domestic terrorism,5.terrorism,457508545781837824,Sniping US officials while in the pursuit of their lawful duties is not patriotic. Its domestic terrorism @cspanwj http://t.co/Z73ssagWsx
don't like religion,6.religion,457524195350835200,@dfwlibrarian @ANTIVICTORIA @Nupe117 @cspanwj Dali Llama had to flee from oppressive communist progressives. They don't like religion
militia snipers set up but so,7.militia snipers,457513040922284032,@ANTIVICTORIA @Nupe117 @cspanwj when those cowboys took the cattle back they were not armed. Yes militia snipers set up but so did BLm's
Penguin Dance Sweeps Saudi Arabia,8.dance arabia saudi sweeps penguin,457531695634587648,@American_hero @dfwlibrarian @Manicdj99 @cspanwj https://t.co/bGabHodt1J Penguin Dance Sweeps Saudi Arabia ur free to dance like a saudi too
religion History proves that Mao,9.politics history,457526032476938240,@ANTIVICTORIA @dfwlibrarian @Nupe117 @cspanwj what? Communists hate religion. History proves that. Mao?
