Context,Topic of discussion,Representative tweet id,Representative tweet
book hangover after DoGaM,0.book video hangover,454455216524386304,@arnoldjaime13 I am starting on mortal heart tonight. I had very bad book hangover after DoGaM
We have Cassie will star,1.cassie,454421397649895424,Pause for freak out! RT @PageToPremiere: We have Cassie! @ChloeGMoretz will star in film adaptation of #The5thWave by @RickYancey
will star in film adaptation of #The5thWave,2.star,454421397649895424,Pause for freak out! RT @PageToPremiere: We have Cassie! @ChloeGMoretz will star in film adaptation of #The5thWave by @RickYancey
film adaptation of #The5thWave by,3.adaptation film,454421397649895424,Pause for freak out! RT @PageToPremiere: We have Cassie! @ChloeGMoretz will star in film adaptation of #The5thWave by @RickYancey
adaptation of #The5thWave by,4.the5thwave,454421397649895424,Pause for freak out! RT @PageToPremiere: We have Cassie! @ChloeGMoretz will star in film adaptation of #The5thWave by @RickYancey
on my vodka,5.vodka,454445003528355840,@arnoldjaime13 btw I’m still waiting on my vodka.
a few times But will be,6.times,454448254722129920,@parajunkee @arnoldjaime13 @lovesFABromance coolio. I have been a few times. But will be on my own for a few days before RT
heart tonight I had very,7.tonight heart,454455216524386304,@arnoldjaime13 I am starting on mortal heart tonight. I had very bad book hangover after DoGaM
get at BEA but thats,8.bea,454458200864358400,@RavenousReadr I can prob get at BEA but thats @arnoldjaime13 @RLLaFevers
up and stuff you can come,9.regency ones stuff,454454511063408640,@parajunkee @lovesFABromance I wasn't sure. If you need a place to rest up and stuff you can come to my room
