Context,Topic of discussion,Representative tweet
PROVIDED BY GOVT but other Patriots ---,0.govt land,454677567052984320
court cases were about his refusal,1.case cases court order orders,454687571428507648
WE THE PEOPLE DO,2.lease people,454677834813149184
food water everything you need,3.water rights,454677320557928448
#BLMGestapo Broke LAW FYI,4.enforcement law,454687397503320065
laws after they’re passed not before,5.work laws,454684316258545665
years of fees He broke the,6.fees,454684309778354176
graze is cattle on his own,7.legal cattle,454682730140155904
predates and BLM law,8.blm,454683858835746816
in the Constitution,9.constitution,454685252754358272
