Topic of discussion,Representative tweet id,Another representative tweet id (if any)
support panthers black gop response,450277545607303168
rw base,450277545607303168
oriented cons fame,450373424351682560,450425019446071296
voter tactics suppression,450277545607303168
votes,450277545607303168
people,450427816287285248
party brass strategy apparatus media,450429547289526272
solutionbased conservatives,450422901872013312
highlights piece war,450797986051002368,450425527414046720
point,450423659128438784
