Context,Topic of discussion,Representative tweet id,Representative tweet
tweet Kelly,0.kelly,459863544528662529,@RedWolfWarrior @YukinoOmoni @LadyJudi @valfromcali @Shimaganish @purpleflower4u Awesome tweet, Kelly
\n #RainbowWarriors by Choice to LOVE & Protect,1.rainbowwarriors,459848430706110464,@valfromcali @LadyJudi @TangerineSkies2 @Shimaganish @purpleflower4u\n#RainbowWarriors by Choice to LOVE &amp; Protect http://t.co/8v09WVix3E
Oh Judi nicely done My,2.judi,459857633458274304,@LadyJudi @YukinoOmoni @RedWolfWarrior @valfromcali @Shimaganish @purpleflower4u Oh, Judi, nicely done. My sisters on fire tonight.
Said Sister :)) Namasté,3.sister air,459925802264428544,@TangerineSkies2 @valfromcali @YukinoOmoni @LadyJudi @Shimaganish @purpleflower4u\nPerfectly Said, Sister! :)) Namasté http://t.co/xjgMlKJrtI
already are Tara 👍👏🐾🐾,4.tara,459857462745513985,@YukinoOmoni @RedWolfWarrior @valfromcali @TangerineSkies2 @Shimaganish @purpleflower4u You already are Tara! 👍👏🐾🐾 http://t.co/R1hfnuayBR
is your heart that makes you,5.heart,459864052865302528,@YukinoOmoni @LadyJudi @TangerineSkies2\nIt is your heart that makes you  #RainbowWarriors http://t.co/k72kpJzdCZ
#RainbowWarriors Shares Peace/Light,6.peacelight,459865311554965505,@LadyJudi @YukinoOmoni @valfromcali @TangerineSkies2 @Shimaganish @purpleflower4u\n#RainbowWarriors Shares Peace/Light http://t.co/CQvSOjENfX
a great weekend all ❤,7.weekend,459780471451156481,@TangerineSkies2 @valfromcali @RedWolfWarrior @Shimaganish @purpleflower4u Have a great weekend all! ❤️🌹 http://t.co/4NU2qR62ps
Love isn't a feeling Love,8.love,459857765671129088,@YukinoOmoni @RedWolfWarrior @LadyJudi @valfromcali @Shimaganish @purpleflower4u Love isn't a feeling. Love is an action.
to Our Soul #Truth,9.soul,459843797568847872,@LadyJudi @TangerineSkies2 @valfromcali @Shimaganish @purpleflower4u\nGoing Within-Awakening to Our Soul #Truth http://t.co/1zHUo07tez
