Topic of discussion,Representative tweet id,Another representative tweet id (if any)
0.dimera ej,459868837257940992,459894984930385921
1.sami centric,459880345131687937,459884497933467648
2.ejami,459879160899727361
3.place dimera,459871506441314304,459884497933467648
4.stuff context,459870184153436161
5.ass characterss boss,459868837257940992,459895400262934528
6.way,459891914154586112
7.characters,459872997679968256,459878756652687360
8.scenes,459908344744910848
9.brain girl,459884201643634689,459881840048750592
