Context,Topic of discussion,Representative tweet id,Representative tweet
she announced Annett to be disinfo,0.annett kevin,455402267152109568,@legenet @GoldHardShell 1/2 Yes, I agree. It only became confusing when she announced Annett to be disinfo w/out any explanation...
on his story I can't find,1.fold story,455425989812580352,Search the internet for backup on his story. I can't find any sources otther than his/his related sites @LaLaRueFrench75 @legenet
NOT Accepting #Gold That's Been,2.gold,452630109657112576,.@WorldBank(ster) Whistleblower @KarenHudes SLAMS @Martin_Dempsey For NOT Accepting #Gold That's Been Allocated to US http://t.co/Q1NS4yNTzW
Karen Hudes who announced Kevin,3.karen hudes,455452523420467200,But wasn't it Karen Hudes who announced Kevin Annett to be disinfo without explanation? Not the other way.. @GoldHardShell @LaLaRueFrench75
to be disinfo w/out any explanation,4.nwo disinfo,455402267152109568,@legenet @GoldHardShell 1/2 Yes, I agree. It only became confusing when she announced Annett to be disinfo w/out any explanation...
Allocated to US,5.us,452630109657112576,.@WorldBank(ster) Whistleblower @KarenHudes SLAMS @Martin_Dempsey For NOT Accepting #Gold That's Been Allocated to US http://t.co/Q1NS4yNTzW
(ster Whistleblower SLAMS For NOT Accepting,6.whistleblower,452630109657112576,.@WorldBank(ster) Whistleblower @KarenHudes SLAMS @Martin_Dempsey For NOT Accepting #Gold That's Been Allocated to US http://t.co/Q1NS4yNTzW
story Thanks Sorry I got,7.thanks,455265585450872832,Thanks! Sorry I got so upset but if we lose the gold it's all over for US and there's alot of agents bashing the story @LaLaRueFrench75
me the info she has,8.info,455445727418662912,@GoldHardShell @legenet Contact Annett. Last yr I asked @Sophia_Stewart to send me the info she has &amp; she did. She sent her court docs!
stage a Kanata distraction,9.kanata,455453553440468992,Im sorry to say but these ppl are so evil they WOULD use child abuse victims to stage a Kanata distraction @legenet @LaLaRueFrench75
