Topic of discussion,Representative tweet id,Another representative tweet id (if any)
andere verüben beachten immer wiederholungstäter lächerliche macht weg dazu auf müssten frage dieser diskussion schönen gegenüber egal stein merken bewährung erhöht leben viel besprochen kriminell haben sagen anzahl fokus kommt keinen der dir wir erlauben darauf seite verbrecher nur kriminellen zusammen machst verbrechen zu wegen täter einfach es verhindert ausgeschafft ich zuordnen dachte weiter elementen werden realistisch ausschaffungen bedeutet soll wo vorwirfst agieren auch wapa nicht weniger jeder sind ja bagatelle zur toleranz können schweizern zahl vergewaltige ob ist asyl und stimmt vergewaltigt daten gegeben eins aber schritt nach volk finde bestimmt eine einen anschliessend gründung auszuschaffen darum rückfälligen krieg heissen nehmen antwort option müsste schweizer schweiz rechnen schon logisch gewalt bei direkt beantwortet ausländerjahr des verbessern sicherheit den geht sein europäer keine alles sicherer wollen von ins grundtoleranz hätte ausländer unideologische mehr beide sonstigen sie hier mit abschreckung kriminelle realität legen frau mordet gehört ausschaffung paar verbrechern rechnung gehen bestrafen somit kurz opfer solche trotzdem allfällig,454184637112516609,454224826878926848
europäer oder sagt beachten wiederholungstäter heimar zu umsetzen ausschaffungsinitiative ausgeschafft bund zuordnen weiter diskussion errechnete realistisch ausschaffungen sie seite nehmen zeigt ausblenden lobt erdoberfläche erste der verbessern welt schritt bevölkerung svp,454223337066332160,454225658970132480
verüben andere allfällig beachten immer wiederholungstäter bereits lächerliche macht weg dazu auf müssten frage dieser gleich diskussion erlaubt gegenüber rechtssystem egal stein merken morde doch bewährung erhöht leben viel besprochen kriminell haben anzahl fokus kommt keinen blutrache sogar wir erlauben darauf seite verbrecher nur ballern zusammen machst verbrechen zu wegen täter einfach es verhindert ausgeschafft ich zuordnen dachte weiter outsourcing elementen werden realistisch ausschaffungen bedeutet soll analysen wo vorwirfst agieren auch wapa nicht weniger jeder sind bedroht ja bagatelle zur toleranz gegeben anständige vergewaltigungen schweizern zahl vergewaltige scheint ist etc asyl hier dir stimmt vergewaltigt daten dafür eins aber nach volk finde bestimmt eine einen anschliessend gründung auszuschaffen mal türksichstämmig darum rückfälligen schönen krieg heissen hinderung viele nehmen ob antwort option mehr müsste schwäche gibt schweizer schweiz rechnen kriminellen schon logisch gewalt bei direkt beantwortet ausländerjahr des verbessern sicherheit den geht problem sein europäer gesellschaft keine alles sicherer wollen von ins grundtoleranz hätte ausländer unideologische der albanischen beide sonstigen deren gleichen sie und mir mit abschreckung kriminelle realität legen frau mordet gehört solche paar verbrechern rechnung gehen bestrafen somit rückfälligkeit kurz opfer ausschaffung trotzdem schritt,454228159865843712,454254771038609408
andere denken verüben überhaupt beachten immer wiederholungstäter macht entschuldige weg dazu auf hätte müssten frage dieser weiss mache diskussion schönen gegenüber egal stein merken würden bewährung erhöht leben selber viel besprochen kriminell haben zuhause fokus weil nichts kommt keinen der dir wir gegeben des handeln verbrecher nur kriminellen machst verbrechen zu wegen täter einfach es verhindert ausgeschafft ich zuordnen dachte weiter elementen werden realistisch einige ausschaffungen stimmt bedeutet niemanden soll wo vorwirfst agieren menschen auch sinn wapa nicht weniger jeder sind ja bagatelle zur toleranz schweizern zahl vergewaltige ob ist asyl hier natürlich schaffen vergewaltigt daten eins aber schritt nach machen volk finde bestimmt eine einen anschliessend gründung bezug auszuschaffen aus vergleichbaren rückfälligen pro heissen nehmen antwort option verhöhne müsste einstellung bringt schweizer unterstützung mich schweiz rechnen schon logisch gewalt bei direkt beantwortet ausländerjahr sonstigen verbessern krieg sicherheit den geht sein davon europäer keine sicherer noch wollen von darauf grundtoleranz steht mehr stellenwert ausländer unideologische schaue jahr beide fertig solche sie und anzahl mit abschreckung kriminelle realität hoffe legen frau mordet gehört höheren teile paar verbrechern rechnung gehen bestrafen somit kurz opfer wären seite ausschaffung trotzdem profitiert allfällig,454186526491299840,454252670183026688
andere müsste eigenen verüben allfällig beachten immer schweiz selbst leben macht weg ideologisch dazu auf müssten frage dieser diskussion schönen sehen falsch egal stein merken gerade doch einreden erhöht belegt platz selber viel besprochen wiederholungstäter kriminell haben anzahl fokus kommt keinen der dir wir gegeben des handeln verbrecher zahlen kriminellen machst verbrechen rückfallquote zu verhalten wegen täter gutes es verhindert sehr ich zuordnen dachte weiter elementen werden realistisch ausschaffungen bedeutet soll diese wo vorwirfst agieren auch sinn wapa nicht jedes jeder sind ja bagatelle zur toleranz gewissen hohe schweizern zahl vergewaltige ob ist asyl und stimmt somit daten eins aber nach volk weniger bestimmt eine einen anschliessend gründung bezug auszuschaffen waffen vergleichbaren rückfälligen krieg heissen schutz nehmen antwort option nur gegenüber schweizer muss rechnen schon logisch gewalt bei direkt beantwortet ausländerjahr sonstigen verbessern sicherheit dem den ausleben geht sein europäer keine sicherer wollen von darauf grundtoleranz bewährung hätte ausländer unideologische mehr beide finde einfach gleichen sich sie hier mit gerechnet abschreckung manche teils realität kriminelle ausgeschafft legen frau mordet gehört solche paar geschlagen verbrechern rechnung gehen bestrafen vergewaltigt verdient kurz opfer verstanden wären seite ausschaffung trotzdem schritt,454251672244879361,454252670183026688
besserer unseres bund bisschen breitengrades outsourcing möglicherweise friedensproj lernprozess geben typisches träumer volk gehört gefälle problem vergewaltiger sein ein,454225167158624256,454223806845165568
andere eigenen verüben allfällig beachten immer wiederholungstäter leben lächerliche macht weg dazu auf müssten frage dieser gleich aus schönen gegenüber ausschaffen egal stein merken würden gerade doch bewährung erhöht belegt du viel besprochen kriminell haben anzahl fokus jedoch kommt keinen blutrache dir wir erlauben darauf seite verbrecher nur kriminellen zusammen machst verbrechen zu wegen täter einfach es offenbar ausgeschafft ich zuordnen vortrag dachte weiter elementen werden realistisch verübten ausschaffungen bedeutet soll und wo vorwirfst agieren auch wapa nicht weniger jeder sind bedroht ja bagatelle zur toleranz schweizern zahl vergewaltige ob ist etc asyl hier stimmt somit daten gegeben eins aber nach volk finde bestimmt eine einen einem anschliessend gründung auszuschaffen diskussion waffen rückfälligen krieg heissen gehst nehmen antwort option müsste notiert schwäche schweizer schweiz rechnen ballern schon logisch gewalt bei direkt beantwortet ausländerjahr des verbessern sicherheit den geht sein europäer gesellschaft keine alles sicherer nationalrat wollen von ins grundtoleranz ausländern hätte ausländer unideologische der mehr beide sonstigen deren gleichen sie denkfehler kurz mit abschreckung genau favorisiert kriminelle verhindert realität legen frau mordet gehört solche paar geschlagen verbrechern rechnung gehen bestrafen vergewaltigt machen opfer wären ausschaffung trotzdem schritt,454228159865843712,454250350221197312
andere verüben beachten immer wiederholungstäter weg dazu auf müssten frage überstellen gleich schönen gegenüber ausschaffen egal stein merken würden erhöht leben viel besprochen kriminell haben fokus kommt keinen blutrache dir bewährung gegeben des handeln verbrecher nur diskutieren ballern machst verbrechen zu wegen täter einfach es verhindert ausgeschafft ich zuordnen dachte weiter elementen werden realistisch verübten ausschaffungen bedeutet soll wo vorwirfst agieren heimland auch geht nicht weniger jeder sind bedroht ja bagatelle zur toleranz wapa schweizern vergewaltige ob ist etc asyl und vergewaltigt daten eins aber schritt nach gewesen volk bestimmt wir einen anschliessend gründung auszuschaffen rückfälligen krieg heissen antwort option müsste schwäche schweizer schweiz rechnen kriminellen schon logisch gewalt bei direkt beantwortet ausländerjahr sonstigen verbessern sicherheit den generell eine sein gesellschaft keine sicherer wollen von darauf grundtoleranz hier hätte ausländer mehr beide fertig deren kurz abschreckung genau kriminelle realität legen frau mordet gehört paar ihrem verbrechern gehen bestrafen somit machen opfer seite ausschaffung trotzdem allfällig,454232612945793024,454252670183026688
behaupte andere verüben allfällig bieten beachten immer wiederholungstäter anerkennung macht weg dazu auf müssten frage dieser diskussion schönen gegenüber gesellschaftliche egal stein merken einreden erhöht leben selber viel besprochen kriminell haben anzahl fokus kommt keinen der dir eine gegeben des handeln verbrecher nur sollen kriminellen machst verbrechen rückfallquote zu wegen täter gutes es verhindert sehr ich zuordnen dachte weiter elementen werden realistisch erhalten bedeutet soll diese wo vorwirfst agieren auch wapa nicht weniger jeder sind ja bagatelle zur toleranz gewissen hohe schweizern zahl vergewaltige ob ist asyl und stimmt vergewaltigt daten ausschaffungen eins aber nach bleibt volk finde bestimmt wir einen anschliessend gründung auszuschaffen rückfälligen krieg heissen nehmen antwort option müsste schweizer schweiz rechnen schon logisch gewalt bei direkt beantwortet ausländerjahr sonstigen verbessern dann sicherheit den geht sein europäer keine sicherer wollen von darauf grundtoleranz bewährung hätte ausländer unideologische mehr beide einfach sich sie hier mit abschreckung kriminelle teils realität ausgeschafft legen frau mordet gehört solche paar verbrechern rechnung gehen bestrafen somit kurz opfer wären seite ausschaffung trotzdem schritt,454229647702913025
europäer gegeben finde wieder macht danach pro müsste volk grundtoleranz bestimmt tiefer eine bei paar des mehr es unideologische stein der auf jahr müssten frage dieser schliesst hier diskussion einwohner keinen sie stimmt krieg mit heissen daten nehmen antwort später nach realität auch legen wapa ja nicht vergewaltige gehört sind solche von gründung zur toleranz trotzdem beantwortet frau rechnung schweizern zahl gehen darauf stärke kriminell anzahl den ergibt geht ausschaffung argumentierst sein dir bewährung,454249483854168064,454249995236311041
