Topic of discussion,Representative tweet id,Another representative tweet id (if any)
0.network value vendors coverage performance perf,448049489711210496,448063156884344832
1.companies apps video innovation internet,447995086706855936,447996841117114368
2.effort,447995086706855936,447996841117114368
3.consulting engagements clients,447836706847596544,447993167707901952
4.telcos,447350437810024448,447994738109861888
5.customers something,447352942753218560,447974703551250432
6.telecom sector revenues,448005470033575936
7.quality,447996841117114368
8.traffic data video companies,447350437810024448
9.opinions,447993167707901952,447993622911524864
