Topic of discussion,Representative tweet
food bank voucher Hmmm \n\n,0.food poverty voucher others banks provision bank,457815763043483648
People have starved to death under this,1.people,457818355068858368
The Mail should be ashamed,2.mail,457816547760025600
suggest the reporter was a,3.reporter,457818055188701184
system with crazy punishment system,4.benefit system,457844793344000000
to be liars Disgusting disinfo,5.liars,457816547760025600
for basic income,6.income,457836238725455872
for 2 years,7.years,457848723427835905
under this Govt & the Mail is,8.govt,457818355068858368
showing proof of un)employment cannot be,9.liar proof,457821174505156608
