Context,Topic of discussion,Representative tweet
she announced Annett to be disinfo,0.annett kevin,455402267152109568
on his story I can't find,1.fold story,455425989812580352
NOT Accepting #Gold That's Been,2.gold,452630109657112576
Karen Hudes who announced Kevin,3.karen hudes,455452523420467200
to be disinfo w/out any explanation,4.nwo disinfo,455402267152109568
Allocated to US,5.us,452630109657112576
(ster Whistleblower SLAMS For NOT Accepting,6.whistleblower,452630109657112576
story Thanks Sorry I got,7.thanks,455265585450872832
me the info she has,8.info,455445727418662912
stage a Kanata distraction,9.kanata,455453553440468992
