Topic of discussion,Representative tweet
left in US only a fake,0.us,455497653023801344
running4 President there's no left,1.president running4,455497653023801344
left in US only a fake,2.left,455497653023801344
that worships fascism #COINTELPRO #LeftyShariaLawUSA,3.fascism,455497653023801344
see some humans as unequal members,4.humans,455824038171250688
I want end to Tax dodging,5.world end tomorrow tomor hunger,455525012901212160
Most people feel like you But they,6.people,455729298104918017
forced pregnancy is the foundation,7.pregnancy,455764596356169729
Dems would have no excuse,8.dems,455520503482970113
have no excuse 2 not do,9.excuse,455520503482970113
