Topic of discussion,Representative tweet
trust the teachers,0.teachers exp,446651583502110720
upset w/Common Core or the way it's,1.core common,446633496510226432
from Sunday School,2.school district,446630041850368001
know which kids connect and don't,3.kids,446650718645022720
far as math well the method,4.training works class math teacher,446629215694106626
year at home he was starting,5.year,446629639973138432
or the way it's being implemented,6.way,446633496510226432
stakes test in has not fixed,7.test testing stakes,446658431638704129
asshole parent,8.asshole parent,446632285253541888
our educational system,9.system,446623906149855232
