Topic of discussion,Representative tweet id,Another representative tweet id (if any)
jostles sam,446387086011404289,446504572459417601
dean,446439089790005248,446505405481779200
shopping cart,446387086011404289,446526082955890688
beer hipster,446498119409082368,446527098296238080
food front junk aisle,446421721672056832,446498119409082368
stuff,446387086011404289,446523880052490240
brother,446387086011404289,446421721672056832
pita chips,446410753940422657,446475207851532288
bobby,446505405481779200,446520316115050496
pies,446494317054418944,446498119409082368
