Topic of discussion,Representative tweet
book hangover after DoGaM,0.book video hangover,454455216524386304
We have Cassie will star,1.cassie,454421397649895424
will star in film adaptation of #The5thWave,2.star,454421397649895424
film adaptation of #The5thWave by,3.adaptation film,454421397649895424
adaptation of #The5thWave by,4.the5thwave,454421397649895424
on my vodka,5.vodka,454445003528355840
a few times But will be,6.times,454448254722129920
heart tonight I had very,7.tonight heart,454455216524386304
get at BEA but thats,8.bea,454458200864358400
up and stuff you can come,9.regency ones stuff,454454511063408640
