Context,Topic of discussion,Representative tweet
are any evangelicals gravitating toward the,0.prog evangelicals,449233084077330432
mainline after the mess Any of you,1.world denoms mainline,449233084077330432
w/in evang denoms,2.hip evang,449239411432370176
The ml isn't going to call,3.ml denoms,449236403876945920
lose other things,4.things,449235219212550144
have similar issues,5.issues,449236403876945920
of that diversity which is my,6.diversity,449238611247259648
more room for nuanced/progressive evangelicals in mainline,7.room,449234122297589760
years and 2-3 years,8.years,449262451062628352
that's my point They have,9.point,449237813909667840
