Topic of discussion,Representative tweet
convenience City waives property tax,0.city counsel council,453312219791368192
tax Don't drink Don't smoke,1.dollars property tax,453309412833103873
Get in line Howard We have,2.line care citizen,453317506698969088
TD Garden to undergo $70 million,3.td garden,453306588460101632
teams urging their fans to vote,4.pro teams fans sports,453307774097977344
TO HAVE FOOTBALL AGAIN THEY WOULD,5.football,453315846002061312
working man,6.working man,453316335770951680
renovation project,7.project renovation,453306588460101632
sarcasm JN,8.jn,453317018104512512
have a stadium to finance All,9.requests stadium,453317506698969088
