Context,Topic of discussion,Representative tweet
Chocolate Bunny Luv >,0.bunnies luv chocolate bscon bunny day ears,457215844368384001
Ty Poco Chocolate Bunny Luv,1.poco good ty,457215844368384001
good morning everyone,2.hugs morning,458278177324806145
h-o-w-single hockey stick-s :),3.howls howsingle hockey sticks,458799334578868226
deviled egg Monday :),4.love easter monday,458404241501986816
Yum Susan I’ll be right,5.susan,457646471957856256
my Fav holiday #darkchocolatebunnyears,6.holiday,457173688975388672
@ #MoreThymeBlog,7.morethymeblog,457979110216581120
Bacon & chocolate Yum ❤ 👍,8.bacon,458207187915923456
even a recipe :-),9.recipe,458580215078211584
