Context,Topic of discussion,Representative tweet
love story,0.story love,447827529215520768
before locking eyes with him again I,1.eyes,447829400596516864
my face still rested on my,2.face,447823097270652928
My hands move up to her,3.hands,447827958418255872
a small smile and shake my,4.smile,447827958418255872
baby kick but so far she,5.baby kick,447819017730797568
mean one thing Writing It’s,6.thing,447818152768835584
that it’s someone who doesn’t know,7.someone,447841599146311680
finds it’s way into my lap,8.clicks way,447823625828061184
shake my head My hands,9.head,447827958418255872
