Context,Topic of discussion,Representative tweet
color assistant means,0.blocks shifts color assistant choices crush thing corrector thoughts,456023521173700610
your great work,1.work colorists,456025745547350016
don't have time to flat it,2.time,456069844430241792
choices on something,3.something,456055385817092096
colors in comics is probbbbbably my,4.comics,456060785131675648
Thanks for the clarifications,5.thanks,456098996432691201
see this process like this because you,6.process,456055385817092096
But what Kelly does takes her,7.kelly,456069623637897216
past literal colors I think,8.colors,456059520088035328
ask a question but I know,9.question,456067886717886464
