Context,Topic of discussion,Representative tweet
about that scene I actually had,0.culture perpetuation scene rape,458358405460398080
the same way as Maid Marian's,1.way,458359083146309632
proof B&W's interpretation is fucked,2.interpretation,458369893898153984
obsessed with Cersei He wouldn't rape,3.cersei,458361951253700608
check the book b/c I couldn't,4.book,458358405460398080
before Jaime puts himself inside her Absolutely,5.jaime,458360603409924096
fierce baby Arya on loop,6.arya,458374376401166337
the point is that a,7.point,458358753583460352
the director DIDNT KNOW IT,8.director,458358753583460352
very little sense Jaime went,9.sense,458361745070125056
