Topic of discussion,Representative tweet
they be terrorists they're not,0.unions terrorists,457509445564903424
US officials while in the pursuit of their,1.officials us,457508545781837824
insurrection against gov u know what,2.things gov people,457516795008917506
in the pursuit of their lawful duties,3.pursuit,457508545781837824
their lawful duties is not,4.duties,457508545781837824
Its domestic terrorism,5.terrorism,457508545781837824
don't like religion,6.religion,457524195350835200
militia snipers set up but so,7.militia snipers,457513040922284032
Penguin Dance Sweeps Saudi Arabia,8.dance arabia saudi sweeps penguin,457531695634587648
religion History proves that Mao,9.politics history,457526032476938240
