Context,Topic of discussion,Representative tweet
purpose of film is important to note,0.festival x malcolm latino film,450375038236385280
@ what point do Latinos go,1.point,450328223285403648
supporting mediocre movies & when will,2.movies,450328223285403648
point do Latinos go beyond supporting,3.latinos,450328223285403648
emotion & history,4.lesson history,450376251497533440
we get content that is outstanding,5.content,450328223285403648
If Luna believes emotion is divorced,6.diego luna michael rosario,450375485797969920
the next films to be deeper,7.tv films style,450339660372656128
I hope people like R listening,8.fact people,450337938769866752
having these conversations if we sit,9.conversations,450328966948069376
