Context,Topic of discussion,Representative tweet
EJ DiMera again More BOSS,0.dimera ej,459868837257940992
I want Sami to tell her,1.sami centric,459880345131687937
to like ejami together,2.ejami,459879160899727361
haha playing dimera with the show,3.place dimera,459871506441314304
pick that stuff,4.stuff context,459870184153436161
More BOSS EJ & less lead,5.ass characterss boss,459868837257940992
way he looks women should,6.way,459891914154586112
these good characters,7.characters,459874348804079616
far more scenes there than the,8.scenes,459908344744910848
Lawd girl WHY,9.brain girl,459884201643634689
