Topic of discussion,Representative tweet
has surpassed Wasim now what,0.wasim akram,461263411980939264
to help players out of a rut Same,1.thing ppl players,461284878194315264
is Pakistan cricket,2.world cricket cup fans series,461258439197351937
though Saqi and Azhar were amazing,3.bhai saqi,461270091091677184
of the team He played 1,4.team,461270663287046146
2 drop Misbah,5.misbah,461262672227737600
Javed Amir in place of Wasti & razzaq/Yousef,6.grp sohail amir,461269705895198721
that is Pakistan cricket,7.pakistan,461258439197351937
Misbah as captain,8.captain,461262216893693952
wicket taking bowler since 2001,9.bowler key,461262024618819584
