Context,Topic of discussion,Representative tweet
straight on Jesus friends of sinners My,0.jesus,446657411764748288
friends of sinners My latest column,1.sinners,446657411764748288
ruffle some feathers,2.feathers ruffle,446657411764748288
Setting the record straight on Jesus,3.record,446657411764748288
Jesus friends of sinners My latest,4.friends,446657411764748288
My latest column may ruffle,5.column,446657411764748288
of their sin,6.sin privet,446722087496220672
desired that people he interacted,7.collector tax people,446722087496220672
mention the article I wrote,8.article,446662095413981184
us from God,9.god,446727818769334272
