Context,Topic of discussion,Representative tweet
star book reviews which presumably,0.reviews link review book star,456244582808690688
sensitive the author is but I,1.drama author,456246636046340097
raves Authors I am honestly,2.bug authors,456244582808690688
a tricky thing,3.thing,456250111598022656
have no criticism and are raves,4.criticism,456244582808690688
it that books can do,5.books,456270182915137536
to send anything that could be hurtful,6.anything,456246636046340097
stars or below but now I'm thinking maybe,7.stars,456245560538701824
pretty favorable review,8.review link,456245305852579840
it so people can't even see,9.couple people,456248290258862080
