Topic of discussion,Representative tweet id,Another representative tweet id (if any)
others,444755406565683200,444770000251797504
pain,444760805137866752,444786538392457216
julie,444749759975133184,444787098587918336
day,444749759975133184,446392392498024448
part,444761305354747906
life time,444757650975117312,444790555898171392
pass time,444753298743382016,444787098587918336
gia,444748341084426241,444773631575719936
way,444754272950169600,444756426175811584
heart,444756173963952128,444759466135674882
