Context,Topic of discussion,Representative tweet
GOP can't/won't seriously compete for Black,0.support panthers black gop response,450277545607303168
voter suppression tactics,1.voter tactics suppression,450277545607303168
fame oriented black cons,2.oriented cons fame,450373424351682560
for Black votes Not without pissing off their,3.votes,450277545607303168
RW base Hence the voter,4.rw base,450277545607303168
can reach people I'll speak,5.people,450427816287285248
a new party,6.party brass strategy apparatus media,450429547289526272
Isn't solution-based going to be a,7.solutionbased conservatives,450422901872013312
the second piece family values,8.highlights piece war,450797986051002368
What's the point of it,9.point,450423659128438784
