Topic of discussion,Representative tweet
jusDON’T want vultures spilling oil,0.vultures,457890293065347073
Obama warns Putin of consequences destabilizing,1.barack obama,456794163984760832
murder of Americans you disagree with Is,2.americans,456811293257641985
vultures this chart says it,3.chart,457895165202399232
GOP embraced Tea Party infection,4.gop,456809746591256576
most of EPA et al,5.reg epa,456838085578211328
was Flying US Flag not,6.constitution us,458732905485713409
country to Capitalism close most of EPA,7.capitalism,456838085578211328
GW Bush was a great,8.gw bush,456805491922841602
coal companies that are being affected,9.plants coal industry ash companies,458033795317645312
