Context,Topic of discussion,Representative tweet
lands the feds are allowed,0.feds,458099675359244288
#tcot God Bless America #tcot,1.god,458067863296036864
God Bless America #tcot,2.america,458067863296036864
cows off land per Judge order,3.transfers land const,458088135469973504
Fed govt is to be limited,4.control govt,458111368105713664
If #BLM would've put a lien,5.blm,458087247770685440
it Bundy is right,6.cliven bundy,458082966707507200
the laws of the United States,7.r laws,458079114130239488
is The Constitution Of The United,8.constitution,458079975115980801
lien on property would have won,9.property rights,458087247770685440
